"Dictamen"; "Antiguedad.Trabajo"; "Vivienda"    ; "Estado.civil"; "Registros"; "Tipo.trabajo"; "V7"    ; "V8"
"positiu" ;                    9; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   17; "lloguer"     ;              3;           1; "vidu"        ; "reg_no"; "Empleat"
"negatiu" ;                   10; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    0; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    0; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   29; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    9; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    0; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    0; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    7; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   19; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "altres viv"  ;              1;           2; "solter"      ; "reg_si"; "Empleat"
"positiu" ;                    0; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "contr_privat";              1;           1; "solter"      ; "reg_no"; "Auto"
"positiu" ;                   33; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    0; "ignora_cont" ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    1; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    2; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    5; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   27; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   26; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   19; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    3; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "VivUnkown"   ;              1;           1; "solter"      ; "reg_no"; "WTUnk"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   14; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   12; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   32; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    7; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   30; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    5; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   24; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    0; "escriptura"  ;              3;           1; "vidu"        ; "reg_no"; "Other"
"negatiu" ;                    0; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"negatiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    1; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    1; "escriptura"  ;              3;           1; "vidu"        ; "reg_no"; "Auto"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    2; "lloguer"     ;              4;           1; "separat"     ; "reg_no"; "Empleat"
"positiu" ;                   25; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    0; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    3; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    1; "lloguer"     ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    7; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    4; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   14; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    4; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   22; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    9; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   22; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   18; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    1; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   14; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   19; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   14; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    0; "altres viv"  ;              2;           2; "casat"       ; "reg_si"; "Other"
"positiu" ;                    9; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   29; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   11; "escriptura"  ;              5;           2; "divorciat"   ; "reg_si"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    5; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   10; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   27; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                   25; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    9; "pares"       ;              1;           2; "solter"      ; "reg_si"; "Empleat"
"positiu" ;                    4; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    6; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    9; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    3; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                   22; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              3;           1; "vidu"        ; "reg_no"; "Other"
"positiu" ;                   30; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    8; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   38; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    2; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    2; "altres viv"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
