"hotel"       , "is_canceled", "lead_time", "arrival_date_year", "arrival_date_month", "arrival_date_week_number", "arrival_date_day_of_month", "stays_in_weekend_nights", "stays_in_week_nights", "adults", "children", "babies", "meal"     , "country", "market_segment", "distribution_channel", "is_repeated_guest", "previous_cancellations", "previous_bookings_not_canceled", "reserved_room_type", "assigned_room_type", "booking_changes", "deposit_type", "agent", "company", "days_in_waiting_list", "customer_type"  , "adr" , "required_car_parking_spaces", "total_of_special_requests", "reservation_status", "reservation_status_date"
"City Hotel"  ,             1,         158,                2016, "May"               ,                         22,                          24,                         0,                      2,        1,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "37"   , "NULL"   ,                     31, "Transient"      , 130   ,                             0,                           0, "Canceled"          , "2016-01-18"
"City Hotel"  ,             1,          81,                2016, "October"           ,                         41,                           2,                         2,                      1,        2,          0,        0, "BB"       , "CHN"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 119.07,                             0,                           0, "Canceled"          , "2016-08-02"
"Resort Hotel",             0,          79,                2015, "November"          ,                         46,                           9,                         1,                      5,        2,          0,        0, "BB"       , "PRT"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "314"  , "NULL"   ,                      0, "Contract"       ,  56.16,                             0,                           1, "Check-Out"         , "2015-11-15"
"Resort Hotel",             0,          49,                2016, "November"          ,                         46,                           6,                         2,                      1,        2,          0,        0, "HB"       , "ESP"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 6, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      ,  64.8 ,                             0,                           3, "Check-Out"         , "2016-11-09"
"City Hotel"  ,             0,           9,                2016, "August"            ,                         34,                          14,                         2,                      1,        2,          0,        0, "SC"       , "FRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 2, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 148   ,                             0,                           2, "Check-Out"         , "2016-08-17"
"City Hotel"  ,             0,           4,                2016, "December"          ,                         50,                           7,                         0,                      4,        2,          0,        0, "SC"       , "ESP"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      ,  88.26,                             0,                           2, "Check-Out"         , "2016-12-11"
"City Hotel"  ,             1,         104,                2017, "May"               ,                         20,                          15,                         1,                      2,        1,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "NULL" , "NULL"   ,                      0, "Transient"      , 160   ,                             0,                           0, "Canceled"          , "2017-01-31"
"City Hotel"  ,             1,         253,                2017, "January"           ,                          2,                          14,                         2,                      1,        2,          0,        0, "HB"       , "ITA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 129.6 ,                             0,                           0, "Canceled"          , "2016-05-06"
"City Hotel"  ,             0,          72,                2015, "October"           ,                         44,                          28,                         0,                      3,        2,          0,        0, "BB"       , "ISR"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "D"                 ,                 0, "No Deposit"  , "37"   , "NULL"   ,                     58, "Transient-Party",  85.67,                             0,                           1, "Check-Out"         , "2015-10-31"
"City Hotel"  ,             1,          38,                2017, "March"             ,                         12,                          25,                         2,                      5,        2,          0,        0, "SC"       , "ARG"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      ,  80.87,                             0,                           0, "Canceled"          , "2017-03-18"
